Sigla;cod_serie;nome_serie;sigla
BR;24363;Índice de Atividade Econômica do Banco Central - IBC-Br - Índice;24363BR
MG;25379;Índice de Atividade Econômica Regional - Minas Gerais - Índice;25379MG
CO;25381;Índice de Atividade Econômica Regional - Região Centro-Oeste - Índice;25381CO
GO;25383;Índice de Atividade Econômica Regional - Goiás - Índice;25383GO
NE;25388;Índice de Atividade Econômica Regional -Nordeste - Índice;25388NE
CE;25390;Índice de Atividade Econômica Regional - Ceará - Índice;25390CE
SP;25392;Índice de Atividade Econômica Regional - São Paulo - Índice;25392SP
SE;25393;Índice de Atividade Econômica Regional - Região Sudeste - Índice;25393SE
RJ;25396;Índice de Atividade Econômica Regional - Rio de Janeiro - Índice;25396RJ
ES;25398;Índice de Atividade Econômica Regional - Espírito Santo - Índice;25398ES
SUL;25400;Índice de Atividade Econômica Regional - Região Sul - Índice;25400SUL
RS;25401;Índice de Atividade Econômica Regional - Rio Grande do Sul - Índice;25401RS
SC;25402;Índice de Atividade Econômica Regional - Santa Catarina - Índice;25402SC
N ;25406;Índice de Atividade Econômica Regional - Região Norte - Índice;25406N 
PR;25408;Índice de Atividade Econômica Regional - Paraná - Índice;25408PR
PA;25409;Índice de Atividade Econômica Regional - Pará - Índice;25409PA
AM;25411;Índice de Atividade Econômica Regional - Amazonas - Índice;25411AM
BA;25415;Índice de Atividade Econômica Regional - Bahia - Índice;25415BA
PE;25417;Índice de Atividade Econômica Regional - Pernambuco - Índice;25417PE
BR;24364;Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal - Índice;24364BRSaz
MG;25380;Índice de Atividade Econômica Regional - Minas Gerais - com ajuste sazonal - Índice;25380MGSaz
CO;25382;Índice de Atividade Econômica Regional - Região Centro-Oeste - com ajuste sazonal - Índice;25382COSaz
GO;25384;Índice de Atividade Econômica Regional - Goiás - com ajuste sazonal - Índice;25384GOSaz
NE;25389;Índice de Atividade Econômica Regional - Nordeste - com ajuste sazonal - Índice;25389NESaz
CE;25391;Índice de Atividade Econômica Regional - Ceará - com ajuste sazonal - Índice;25391CESaz
SP;25394;Índice de Atividade Econômica Regional - São Paulo - com ajuste sazonal - Índice;25394SPSaz
SE;25395;Índice de Atividade Econômica Regional - Região Sudeste - com ajuste sazonal - Índice;25395SESaz
RJ;25397;Índice de Atividade Econômica Regional - Rio de Janeiro - com ajuste sazonal - Índice;25397RJSaz
ES;25399;Índice de Atividade Econômica Regional - Espírito Santo - com ajuste sazonal - Índice;25399ESSaz
SUL;25403;Índice de Atividade Econômica Regional - Região Sul - com ajuste sazonal - Índice;25403SULSaz
RS;25404;Índice de Atividade Econômica Regional - Rio Grande do Sul - com ajuste sazonal - Índice;25404RSSaz
SC;25405;Índice de Atividade Econômica Regional - Santa Catarina - com ajuste sazonal - Índice;25405SCSaz
N ;25407;Índice de Atividade Econômica Regional - Região Norte - com ajuste sazonal - Índice;25407N Saz
PA;25410;Índice de Atividade Econômica Regional - Pará - com ajuste sazonal - Índice;25410PASaz
AM;25412;Índice de Atividade Econômica Regional - Amazonas - com ajuste sazonal - Índice;25412AMSaz
PR;25413;Índice de Atividade Econômica Regional - Paraná - com ajuste sazonal - Índice;25413PRSaz
BA;25416;Índice de Atividade Econômica Regional - Bahia - com ajuste sazonal - Índice;25416BASaz
PE;25418;Índice de Atividade Econômica Regional - Pernambuco - com ajuste sazonal - Índice;25418PESaz
